"Source","Target"
"29383007","1598904"
"28035989","1598904"
"27659521","1598904"
"26987529","1598904"
"26970122","1598904"
"21532565","1598904"
"19675719","1598904"
"19119412","1598904"
"18783406","1598904"
"17018815","1598904"
"16696013","1598904"
"16451559","1598904"
"14752704","1598904"
"10777714","1598904"
"10644313","1598904"
"10621839","1598904"
"10621838","1598904"
"9818024","1598904"
"9497246","1598904"
"9391879","1598904"
"9150150","1598904"
"8932340","1598904"
"8630282","1598904"
"8605099","1598904"
"8506271","1598904"
"8460646","1598904"
"8460645","1598904"
"8460644","1598904"
"8460642","1598904"
"8460640","1598904"
"8460637","1598904"
"8460636","1598904"
"8460635","1598904"
"8460634","1598904"
"8447325","1598904"
"8213839","1598904"
"8170984","1598904"
"8116622","1598904"
"8096359","1598904"
"8096358","1598904"
"8018518","1598904"
"7947085","1598904"
"7942844","1598904"
"7852187","1598904"
"7825587","1598904"
"7825586","1598904"
"7669582","1598904"
"1598903","1598904"
"28521483","7473818"
"22125594","7473818"
"20227509","7473818"
"19261255","7473818"
"17596546","7473818"
"15548805","7473818"
"14580249","7473818"
"10604741","7473818"
"10574256","7473818"
"9665480","7473818"
"9327736","7473818"
"9095001","7473818"
"9010038","7473818"
"8780379","7473818"
"19261255","7478429"
"11747329","7478429"
"11272899","7478429"
"10360664","7478429"
"10070859","7478429"
"9514060","7478429"
"29985912","7478543"
"25762626","7478543"
"17190795","7478543"
"14633957","7478543"
"11159178","7478543"
"10952778","7478543"
"10487854","7478543"
"10398279","7478543"
"9743298","7478543"
"30323899","7481765"
"30037003","7481765"
"29773825","7481765"
"28879638","7481765"
"28863181","7481765"
"26911432","7481765"
"26057449","7481765"
"25594033","7481765"
"25380576","7481765"
"24997799","7481765"
"24709009","7481765"
"24704793","7481765"
"24647341","7481765"
"24389207","7481765"
"24278741","7481765"
"23855721","7481765"
"23276146","7481765"
"20482811","7481765"
"20007691","7481765"
"19170108","7481765"
"17664283","7481765"
"17646391","7481765"
"17625228","7481765"
"17505559","7481765"
"15800211","7481765"
"15591126","7481765"
"15340083","7481765"
"12698194","7481765"
"12438698","7481765"
"11429425","7481765"
"11376024","7481765"
"11359908","7481765"
"11250747","7481765"
"11207044","7481765"
"10864206","7481765"
"10835497","7481765"
"10804288","7481765"
"10595935","7481765"
"10570174","7481765"
"10373534","7481765"
"10193517","7481765"
"9789027","7481765"
"9765620","7481765"
"9482880","7481765"
"9400936","7481765"
"9342365","7481765"
"9207057","7481765"
"8972225","7481765"
"8942979","7481765"
"8909243","7481765"
"8862516","7481765"
"8756626","7481765"
"8633092","7481765"
"8622702","7481765"
"8622657","7481765"
"30087710","7490069"
"29718098","7490069"
"29343747","7490069"
"29088849","7490069"
"28404954","7490069"
"28232485","7490069"
"27808423","7490069"
"27626692","7490069"
"27181092","7490069"
"26697375","7490069"
"26617938","7490069"
"25622104","7490069"
"25610759","7490069"
"25385028","7490069"
"25196260","7490069"
"24815849","7490069"
"24311986","7490069"
"24212830","7490069"
"23760265","7490069"
"23593540","7490069"
"23530232","7490069"
"23259914","7490069"
"23077249","7490069"
"22897902","7490069"
"21976778","7490069"
"21189395","7490069"
"20976003","7490069"
"20461080","7490069"
"19920201","7490069"
"19851499","7490069"
"19845967","7490069"
"19789346","7490069"
"19701494","7490069"
"19531578","7490069"
"19395651","7490069"
"19286473","7490069"
"18483181","7490069"
"18419822","7490069"
"18284467","7490069"
"17956604","7490069"
"17589922","7490069"
"17211471","7490069"
"16330715","7490069"
"15138294","7490069"
"14745013","7490069"
"14578197","7490069"
"12566408","7490069"
"11943846","7490069"
"11481346","7490069"
"10934170","7490069"
"10702400","7490069"
"10677505","7490069"
"9862577","7490069"
"9848085","7490069"
"9846990","7490069"
"9626059","7490069"
"9353251","7490069"
"9237999","7490069"
"29706637","7490091"
"28435519","7490091"
"25590583","7490091"
"23946869","7490091"
"23946868","7490091"
"21963259","7490091"
"21102526","7490091"
"19325002","7490091"
"11739747","7490091"
"9765397","7490091"
"9724329","7490091"
"9445487","7490091"
"29748565","7493024"
"29483665","7493024"
"29446198","7493024"
"29275340","7493024"
"29228641","7493024"
"28576136","7493024"
"28546758","7493024"
"27534398","7493024"
"26913838","7493024"
"26315354","7493024"
"25849179","7493024"
"25789811","7493024"
"25352972","7493024"
"24915755","7493024"
"24675953","7493024"
"24212087","7493024"
"23802008","7493024"
"23776357","7493024"
"23483928","7493024"
"23319948","7493024"
"23231005","7493024"
"23149842","7493024"
"22966347","7493024"
"22915751","7493024"
"22866131","7493024"
"22682623","7493024"
"22460208","7493024"
"22430266","7493024"
"22262859","7493024"
"21169536","7493024"
"20104584","7493024"
"19965908","7493024"
"19876733","7493024"
"19770520","7493024"
"19383375","7493024"
"19383374","7493024"
"19329713","7493024"
"18783588","7493024"
"18710587","7493024"
"18708369","7493024"
"16227521","7493024"
"16168130","7493024"
"16168118","7493024"
"14744934","7493024"
"14612409","7493024"
"14609432","7493024"
"12698193","7493024"
"12677558","7493024"
"12100744","7493024"
"12080089","7493024"
"11879560","7493024"
"11739404","7493024"
"11389159","7493024"
"11250724","7493024"
"11250722","7493024"
"11250694","7493024"
"11179017","7493024"
"11056686","7493024"
"11044354","7493024"
"10788334","7493024"
"10739756","7493024"
"10577927","7493024"
"10528853","7493024"
"10486320","7493024"
"10441573","7493024"
"10205268","7493024"
"10090879","7493024"
"9799248","7493024"
"9792861","7493024"
"9667663","7493024"
"9649133","7493024"
"9635841","7493024"
"9497246","7493024"
"9482880","7493024"
"9429140","7493024"
"9357627","7493024"
"9245992","7493024"
"9197534","7493024"
"9155062","7493024"
"9150174","7493024"
"9150173","7493024"
"9150172","7493024"
"9150171","7493024"
"9150154","7493024"
"9150153","7493024"
"9150151","7493024"
"9150149","7493024"
"9150148","7493024"
"9132280","7493024"
"9042909","7493024"
"9042907","7493024"
"9012404","7493024"
"8981943","7493024"
"8942979","7493024"
"8933332","7493024"
"8880569","7493024"
"8806241","7493024"
"8651293","7493024"
"8644703","7493024"
"8616352","7493024"
"24179442","7495979"
"28900330","7507078"
"7942844","7507078"
"28785294","7511021"
"18461349","7511021"
"14684683","7511021"
"9190201","7511021"
"8794866","7511021"
"8603923","7511021"
"8554067","7511021"
"8533757","7511021"
"7539810","7511021"
"7534039","7511021"
"7529919","7511021"
"7529318","7511021"
"7513705","7511021"
"23119097","7511052"
"18364049","7511052"
"27716388","7519878"
"7977348","7519878"
"7825586","7519878"
"7611277","7519878"
"7490308","7519878"
"23805307","7529047"
"22669161","7529047"
"21949216","7529047"
"21472990","7529047"
"11710835","7529047"
"11346464","7529047"
"10070859","7529047"
"9643283","7529047"
"8980399","7529047"
"7490308","7529047"
"30458859","7545954"
"30453575","7545954"
"30443181","7545954"
"30441849","7545954"
"30416390","7545954"
"30405761","7545954"
"30400234","7545954"
"30344568","7545954"
"30323899","7545954"
"30323273","7545954"
"30320429","7545954"
"30283497","7545954"
"30254159","7545954"
"30249004","7545954"
"30241137","7545954"
"30211169","7545954"
"30210910","7545954"
"30186165","7545954"
"30166705","7545954"
"30149579","7545954"
"30145940","7545954"
"30130155","7545954"
"30128181","7545954"
"30124007","7545954"
"30116257","7545954"
"30084716","7545954"
"30075112","7545954"
"30048498","7545954"
"30042185","7545954"
"29977717","7545954"
"29955703","7545954"
"29938003","7545954"
"29872710","7545954"
"29844838","7545954"
"29785135","7545954"
"29770616","7545954"
"29757984","7545954"
"29755873","7545954"
"29755871","7545954"
"29682331","7545954"
"29681614","7545954"
"29673145","7545954"
"29671401","7545954"
"29660759","7545954"
"29650789","7545954"
"29623263","7545954"
"29622581","7545954"
"29584711","7545954"
"29570666","7545954"
"29565421","7545954"
"29492227","7545954"
"29484036","7545954"
"29465570","7545954"
"29435039","7545954"
"29427345","7545954"
"29389935","7545954"
"29383094","7545954"
"29382703","7545954"
"29349042","7545954"
"29330845","7545954"
"29299148","7545954"
"29291027","7545954"
"29290694","7545954"
"29286222","7545954"
"29286157","7545954"
"29215763","7545954"
"29200866","7545954"
"29180619","7545954"
"29146938","7545954"
"29116104","7545954"
"29088781","7545954"
"29047188","7545954"
"28986348","7545954"
"28976962","7545954"
"28947987","7545954"
"28936272","7545954"
"28928839","7545954"
"28924212","7545954"
"28905878","7545954"
"28881617","7545954"
"28879638","7545954"
"28858227","7545954"
"28855565","7545954"
"28852190","7545954"
"28830573","7545954"
"28814288","7545954"
"28808214","7545954"
"28794804","7545954"
"28792971","7545954"
"28781887","7545954"
"28738860","7545954"
"28736756","7545954"
"28714471","7545954"
"28713573","7545954"
"28706734","7545954"
"28706506","7545954"
"28680382","7545954"
"28649653","7545954"
"28588830","7545954"
"28572256","7545954"
"28546758","7545954"
"28545429","7545954"
"28525389","7545954"
"28506208","7545954"
"28475137","7545954"
"28471759","7545954"
"28435519","7545954"
"28423363","7545954"
"28415857","7545954"
"28408614","7545954"
"28357044","7545954"
"28342662","7545954"
"28339459","7545954"
"28326099","7545954"
"28302823","7545954"
"28262780","7545954"
"28202063","7545954"
"28194329","7545954"
"28191685","7545954"
"28182268","7545954"
"28164176","7545954"
"28108744","7545954"
"28101326","7545954"
"28092266","7545954"
"28090007","7545954"
"28086974","7545954"
"28073598","7545954"
"28055979","7545954"
"28008141","7545954"
"28005465","7545954"
"27895806","7545954"
"27867299","7545954"
"27836010","7545954"
"27826806","7545954"
"27815389","7545954"
"27792995","7545954"
"27760710","7545954"
"27742776","7545954"
"27716388","7545954"
"27665502","7545954"
"27658390","7545954"
"27600412","7545954"
"27599564","7545954"
"27556296","7545954"
"27555886","7545954"
"27514841","7545954"
"27514838","7545954"
"27513445","7545954"
"27481486","7545954"
"27477457","7545954"
"27471560","7545954"
"27446805","7545954"
"27444544","7545954"
"27424772","7545954"
"27424552","7545954"
"27417607","7545954"
"27384023","7545954"
"27382453","7545954"
"27351029","7545954"
"27338744","7545954"
"27308455","7545954"
"27306910","7545954"
"27277787","7545954"
"27259235","7545954"
"27259208","7545954"
"27242959","7545954"
"27241552","7545954"
"27231574","7545954"
"27223485","7545954"
"27216078","7545954"
"27197561","7545954"
"27194814","7545954"
"27167707","7545954"
"27148484","7545954"
"27144894","7545954"
"27129401","7545954"
"27121432","7545954"
"27115018","7545954"
"27102245","7545954"
"27088617","7545954"
"27077368","7545954"
"27066510","7545954"
"27027444","7545954"
"26997744","7545954"
"26994145","7545954"
"26989768","7545954"
"26969729","7545954"
"26884819","7545954"
"26884712","7545954"
"26877711","7545954"
"26848529","7545954"
"26843898","7545954"
"26828133","7545954"
"26822887","7545954"
"26807247","7545954"
"26787654","7545954"
"26778126","7545954"
"26772405","7545954"
"26770289","7545954"
"26750754","7545954"
"26733283","7545954"
"26715507","7545954"
"26694952","7545954"
"26669862","7545954"
"26645008","7545954"
"26644450","7545954"
"26622902","7545954"
"26608569","7545954"
"26580448","7545954"
"26575173","7545954"
"26568913","7545954"
"26564481","7545954"
"26510816","7545954"
"26438025","7545954"
"26426992","7545954"
"26424751","7545954"
"26406445","7545954"
"26395823","7545954"
"26355395","7545954"
"26354718","7545954"
"26339436","7545954"
"26328548","7545954"
"26300845","7545954"
"26269146","7545954"
"26264682","7545954"
"26261251","7545954"
"26246475","7545954"
"26236408","7545954"
"26183948","7545954"
"26157685","7545954"
"26147747","7545954"
"26082817","7545954"
"26028963","7545954"
"26022109","7545954"
"26010605","7545954"
"25925750","7545954"
"25923920","7545954"
"25885115","7545954"
"25880076","7545954"
"25879655","7545954"
"25868867","7545954"
"25852742","7545954"
"25849179","7545954"
"25848941","7545954"
"25836596","7545954"
"25833843","7545954"
"25826455","7545954"
"25823446","7545954"
"25802882","7545954"
"25800897","7545954"
"25797244","7545954"
"25789047","7545954"
"25724305","7545954"
"25701377","7545954"
"25685382","7545954"
"25683334","7545954"
"25646469","7545954"
"25643705","7545954"
"25624909","7545954"
"25605252","7545954"
"25594072","7545954"
"25593598","7545954"
"25569233","7545954"
"25568166","7545954"
"25522274","7545954"
"25483746","7545954"
"25425662","7545954"
"25382762","7545954"
"25371887","7545954"
"25371446","7545954"
"25368520","7545954"
"25366075","7545954"
"25364741","7545954"
"25362854","7545954"
"25352972","7545954"
"25337581","7545954"
"25337559","7545954"
"25337278","7545954"
"25309843","7545954"
"25264941","7545954"
