Id,Label,Authority,Hub,modularity_class,pageranks,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree
28123304,,0,0.000003,2,0.000013,0,2,2,0,2,2
7547224,,0.000133,0,2,0.001889,26,0,26,26,0,26
28078281,,0.000022,0.001762,23,0.000043,4,13,17,4,13,17
27513691,,0.000064,0.000008,19,0.000018,3,2,5,3,2,5
27402168,,0,0.000083,5,0.000013,0,13,13,0,13,13
26987529,,0.000002,0.001842,0,0.000042,4,31,35,4,31,35
25847940,,0,0.000082,5,0.000013,0,3,3,0,3,3
23554638,,0,0.000309,2,0.000013,0,2,2,0,2,2
20223009,,0,0.000867,2,0.000013,0,5,5,0,5,5
19134174,,0,0.000003,2,0.000013,0,1,1,0,1,1
18418465,,0.000041,0.000844,2,0.000124,3,6,9,3,6,9
15209204,,0,0.000003,2,0.000013,0,1,1,0,1,1
12381271,,0,0.000003,2,0.000013,0,1,1,0,1,1
12045150,,0,0.000024,2,0.000013,0,3,3,0,3,3
11950848,,0.000104,0.000009,2,0.000372,26,6,32,26,6,32
11314429,,0.000042,0.000003,5,0.000108,12,2,14,12,2,14
10889864,,0.000008,0.000003,5,0.00009,5,2,7,5,2,7
10577927,,0.000688,0.000027,2,0.001097,10,4,14,10,4,14
10471049,,0,0.000007,2,0.000013,0,3,3,0,3,3
10227398,,0.00011,0.000003,2,0.000111,7,1,8,7,1,8
9712591,,0,0.000003,2,0.000013,0,1,1,0,1,1
9585599,,0,0.000003,2,0.000013,0,1,1,0,1,1
9429140,,0,0.000016,2,0.000024,1,3,4,1,3,4
9255577,,0,0.000003,2,0.000013,0,1,1,0,1,1
9150155,,0.001036,0.000005,0,0.002987,52,2,54,52,2,54
9150151,,0,0.000011,2,0.000013,0,2,2,0,2,2
9150149,,0,0.000003,2,0.000013,0,1,1,0,1,1
27630665,,0,0.02337,8,0.000013,0,15,15,0,15,15
7577475,,0.000545,0,1,0.006227,17,0,17,17,0,17
26391647,,0,0.000066,0,0.000013,0,4,4,0,4,4
25490678,,0.000015,0.000014,33,0.000022,3,3,6,3,3,6
23644885,,0,0.000131,1,0.000013,0,2,2,0,2,2
18824701,,0.000482,0.000187,22,0.000338,35,8,43,35,8,43
15858120,,0.000004,0.000091,1,0.00003,2,5,7,2,5,7
11452363,,0.000003,0.00008,2,0.000056,4,6,10,4,6,10
10963680,,0.000005,0.000012,2,0.000254,22,1,23,22,1,23
10507777,,0.000529,0.00006,1,0.000331,12,4,16,12,4,16
10193517,,0.000088,0.000072,1,0.000132,19,3,22,19,3,22
9643283,,0.000054,0.000065,0,0.000198,6,6,12,6,6,12
9413939,,0,0.000012,1,0.000013,0,1,1,0,1,1
9400936,,0.000005,0.000041,1,0.00007,3,3,6,3,3,6
9365162,,0.001256,0.000012,41,0.002068,19,1,20,19,1,20
9150154,,0.00024,0.000019,2,0.011082,36,5,41,36,5,41
8932343,,0.000006,0.000012,1,0.002069,9,1,10,9,1,10
8808615,,0.000019,0.000012,1,0.000434,5,1,6,5,1,6
30258276,,0,0.000367,23,0.000013,0,9,9,0,9,9
7597059,,0.000102,0,23,0.003436,24,0,24,24,0,24
28579318,,0.000001,0.000108,11,0.000025,2,9,11,2,9,11
27923995,,0,0.000703,8,0.000013,0,12,12,0,12,12
27834354,,0,0.000577,23,0.000013,0,3,3,0,3,3
27689078,,0,0.000046,23,0.000013,0,4,4,0,4,4
26483879,,0,0.000397,23,0.000013,0,6,6,0,6,6
21512581,,0,0.00018,23,0.000013,0,3,3,0,3,3
21286308,,0,0.000002,23,0.000013,0,1,1,0,1,1
20215515,,0,0.000002,23,0.000013,0,1,1,0,1,1
18787609,,0.000098,0.000204,32,0.000075,8,5,13,8,5,13
18382097,,0,0.000002,23,0.000013,0,1,1,0,1,1
18299447,,0,0.000002,23,0.000013,0,1,1,0,1,1
11950811,,0,0.000058,2,0.000434,2,6,8,2,6,8
11531255,,0,0.000002,23,0.000013,0,1,1,0,1,1
10362809,,0,0.000002,23,0.000013,0,2,2,0,2,2
9671826,,0,0.000002,23,0.000013,0,1,1,0,1,1
9033253,,0,0.000002,23,0.000013,0,1,1,0,1,1
8950667,,0,0.000005,23,0.000111,9,2,11,9,2,11
8570617,,0,0.000002,23,0.000035,2,1,3,2,1,3
7479076,,0,0.000002,23,0.000013,0,1,1,0,1,1
30069430,,0,0,26,0.000013,0,1,1,0,1,1
7640222,,0.000001,0,26,0.000137,10,0,10,10,0,10
28791409,,0,0,26,0.000013,0,1,1,0,1,1
24916440,,0,0.000027,26,0.000013,0,2,2,0,2,2
16623759,,0,0.000003,26,0.000073,6,2,8,6,2,8
14645355,,0,0,26,0.000013,0,1,1,0,1,1
