"Source","Target"
11914273,11823860
12049658,11823860
12100738,11823860
12208864,11823860
12368196,11823860
12409475,11823860
12445333,11823860
12460461,11823860
12466111,11823860
12547696,11823860
12559041,11823860
12559048,11823860
12610208,11823860
12620106,11823860
12631389,11823860
12651875,11823860
12657164,11823860
12671006,11823860
12671691,11823860
12677142,11823860
12697066,11823860
12714683,11823860
12718743,11823860
12727912,11823860
12734014,11823860
12746500,11823860
12793897,11823860
12799623,11823860
12801425,11823860
12805619,11823860
12808139,11823860
12824416,11823860
12829800,11823860
12840047,11823860
12865923,11823860
12875974,11823860
12890740,11823860
12917485,11823860
12925757,11823860
12953101,11823860
12954762,11823860
12960427,11823860
12963810,11823860
12966421,11823860
12975311,11823860
14500907,11823860
14551912,11823860
14580243,11823860
14580246,11823860
14580246,12829800
14580250,11823860
14583755,11823860
14613556,11823860
14659020,11823860
14665696,11823860
14668360,11823860
14676790,11823860
14680483,12829800
14681477,11823860
14690479,11823860
14695313,11823860
14695315,11823860
14695316,11823860
14710226,11823860
14710232,11823860
14729816,11823860
14729816,12829800
14737219,11823860
14966261,11823860
14970848,11823860
14979907,11823860
14979914,11823860
14979914,12829800
14979917,11823860
14982834,11823860
14982844,11823860
14982960,11823860
15005798,11823860
15026788,11823860
15026788,12829800
15034139,12829800
15035667,11823860
15039202,11823860
15054465,11823860
15054466,11823860
15067324,11823860
15068665,11823860
15078854,11823860
15082764,11823860
15082792,11823860
15082903,11823860
15083181,11823860
15084231,11823860
15084231,12829800
15087504,11823860
15094809,11823860
15119961,11823860
15123585,11823860
15138474,11823860
15152076,11823860
15161944,11823860
15161944,12829800
15173114,11823860
15173114,12829800
15184677,11823860
15186486,11823860
15215434,11823860
15215435,11823860
15225356,11823860
15260889,11823860
15272085,11823860
15280533,11823860
15287965,11823860
15287965,12829800
15318922,11823860
15318924,11823860
15318924,12829800
15324460,12829800
15345050,11823860
15354216,11823860
15385048,11823860
15450124,11823860
15466177,11823860
15475384,11823860
15489959,11823860
15504239,11823860
15505629,11823860
15509548,11823860
15514893,11823860
15520277,11823860
15520296,11823860
15520297,11823860
15535849,12829800
15548371,11823860
15563668,11823860
15566434,11823860
15588298,11823860
15598354,11823860
15601541,11823860
15601541,12829800
15608061,11823860
15608061,12829800
15611012,11823860
15621987,11823860
15621988,11823860
15630443,11823860
15642172,11823860
15642172,12829800
15642173,12829800
15689496,11823860
15693949,11823860
15701700,11823860
15701700,12829800
15714204,11823860
15719014,11823860
15730452,11823860
15730452,12829800
15743515,11823860
15761963,11823860
15762987,11823860
15762987,12829800
15766384,11823860
15774023,11823860
15774034,12829800
15793299,11823860
15793299,12829800
15810144,11823860
15812557,11823860
15812557,12829800
15831449,11823860
15850491,12829800
15862116,11823860
15876355,11823860
15892885,11823860
15931389,11823860
15941488,12829800
15951424,11823860
15953389,12829800
15965475,11823860
15980548,11823860
15987437,11823860
15987438,11823860
15987451,12829800
15987465,12829800
15987472,12829800
15987529,11823860
16038406,11823860
16046820,11823860
16048644,11823860
16049308,12829800
16049480,11823860
16052214,11823860
16087863,11823860
16091131,11823860
16096102,11823860
16102574,12829800
16107709,15829967
16109166,11823860
16109166,12829800
16122395,11823860
16141321,11823860
16141321,12829800
16168088,11823860
16168108,11823860
16168108,12829800
16189523,11823860
16192647,11823860
16199521,11823860
16202134,11823860
16224537,11823860
16225673,11823860
16271137,11823860
16280042,11823860
16280053,11823860
16322782,11823860
16351756,11823860
16356275,11823860
16356275,12829800
16380191,11823860
16381943,11823860
16381943,12829800
16395401,12829800
16395408,12829800
16398926,11823860
16405732,12829800
16409635,11823860
16415983,12829800
16417408,11823860
16421589,15829967
16421595,11823860
16423281,11823860
16457687,12829800
16457699,11823860
16473854,15829967
16475030,11823860
16498404,15829967
16504121,11823860
16505270,11823860
16505270,12829800
16507157,11823860
16507466,11823860
16518402,11823860
16522651,15829967
16524469,11823860
16536878,12829800
16537840,11823860
16556664,12829800
16556909,15829967
16580994,11823860
16585533,11823860
16595007,11823860
16603649,11823860
16604168,11823860
16606439,11823860
16606446,11823860
16614230,15829967
16625706,11823860
16626501,11823860
16626501,12829800
16627996,11823860
16638151,11823860
16643655,11823860
16643655,12829800
16648480,11823860
16651380,11823860
16670007,11823860
16670008,11823860
16670265,11823860
16679350,11823860
16684880,11823860
16684880,12829800
16685647,12829800
16702945,11823860
16714450,15829967
16722614,15829967
16729877,11823860
16729877,12829800
16737545,11823860
16737553,11823860
16738198,11823860
16759347,11823860
16774678,11823860
16776839,12829800
16778210,11823860
16778390,12829800
16788383,12829800
16790077,11823860
16790077,12829800
16807805,12829800
16809779,11823860
16810332,15829967
16813654,11823860
16817944,11823860
16817944,12829800
16823962,11823860
16834787,11823860
16836741,11823860
16842374,12829800
16842374,15829967
16845011,11823860
16845056,11823860
16846527,11823860
16846532,12829800
16848979,12829800
16849266,11823860
16849266,12829800
16849555,11823860
16849564,11823860
16859500,11823860
16859500,12829800
16872911,11823860
16880783,12829800
16885352,11823860
16895590,12829800
16906222,15829967
16919157,11823860
16925821,11823860
16959042,11823860
16965636,12829800
17000754,15829967
17007818,15829967
17014703,12829800
17022808,11823860
17032455,11823860
17040570,12829800
17046715,15829967
17054774,12829800
17054791,11823860
17054791,12829800
17055654,15829967
17057642,12829800
17062128,11823860
17069663,11823860
17069663,12829800
17069664,11823860
17069664,12829800
17074082,11823860
17074824,15829967
17076557,11823860
17076877,11823860
17076877,12829800
17076897,11823860
17077880,11823860
17078870,11823860
17078886,11823860
17079134,11823860
17088286,15829967
17088909,12829800
17090670,11823860
17096863,12829800
17105822,11823860
