"Target","Source"
9497246,9811893
9497246,10082707
9497246,10090879
9497246,10090894
9497246,10441587
9497246,10486320
9497246,10487825
9497246,10528853
9497246,10570174
9497246,10577940
9497246,10638982
9497246,10739756
9497246,10755399
9497246,10917555
9497246,10944226
9497246,10952777
9497246,10978226
9497246,11044354
9497246,11044356
9497246,11056688
9497246,11133358
9497246,11170890
9497246,11179017
9497246,11207042
9497246,11237395
9497246,11238682
9497246,11248061
9497246,11250676
9497246,11250683
9497246,11250694
9497246,11250722
9497246,11250724
9497246,11286467
9497246,11309686
9497246,11389159
9497246,11395387
9497246,11429050
9497246,11431403
9497246,11433037
9497246,11437399
9497246,11527843
9497246,11556836
9497246,11756561
9497246,11850376
9497246,11857015
9497246,11875732
9497246,11879560
9497246,11953874
9497246,12100744
9497246,12145750
9497246,12177798
9497246,12368216
9497246,12471197
9497246,12610208
9497246,12672886
9497246,12677558
9497246,12698193
9497246,12843322
9497246,14583096
9497246,14627668
9497246,14680492
9497246,14962874
9497246,14979910
9497246,15026808
9497246,15082902
9497246,15083174
9497246,15116316
9497246,15138485
9497246,15173236
9497246,15217503
9497246,15217505
9497246,15217508
9497246,15353005
9497246,15381934
9497246,15505627
9497246,15545966
9497246,15642173
9497246,15653260
9497246,15681486
9497246,15756256
9497246,15831578
9497246,15834239
9497246,16052221
9497246,16131554
9497246,16136053
9497246,16168118
9497246,16168130
9497246,16229746
9497246,16280053
9497246,16407375
9497246,16417652
9497246,16457692
9497246,16460311
9497246,16484695
9497246,16507150
9497246,16522651
9497246,16539696
9497246,16563180
9497246,16575876
9497246,16622123
9497246,16622469
9497246,16623069
9497246,16646800
9497246,16762046
9497246,16800895
9497246,16825431
9497246,16825437
9497246,16905680
9497246,16973716
9497246,16978908
9497246,17018160
9497246,17079251
9497246,17106493
9497246,17213823
9497246,17213827
9497246,17285126
9497246,17324252
9497246,17341306
9497246,17416853
9497246,17466083
9497246,17525270
9497246,17541692
9497246,17561994
9497246,17603881
9497246,17625228
9497246,17640379
9497246,17673440
9497246,17697391
9497246,17850658
9497246,17909205
9497246,17999359
9497246,18042939
9497246,18053174
9497246,18196574
9497246,18230179
9497246,18268124
9497246,18268356
9497246,18326623
9497246,18344704
9497246,18355772
9497246,18402691
9497246,18410690
9497246,18418465
9497246,18418466
9497246,18443409
9497246,18450541
9497246,18489799
9497246,18513387
9497246,18542066
9497246,18618591
9497246,18628483
9497246,18647968
9497246,18662409
9497246,18687797
9497246,18691161
9497246,18702049
9497246,18703817
9497246,18706089
9497246,18718648
9497246,18782836
9497246,18783588
9497246,18812548
9497246,18834503
9497246,18836779
9497246,18851829
9497246,18925859
9497246,18979190
9497246,18992264
9497246,19043619
9497246,19089844
9497246,19119312
9497246,19128425
9497246,19141781
9497246,19174581
9497246,19176442
9497246,19188678
9497246,19223511
9497246,19232099
9497246,19240718
9497246,19277124
9497246,19309274
9497246,19319666
9497246,19324993
9497246,19329713
9497246,19367322
9497246,19383374
9497246,19383375
9497246,19460581
9497246,19466581
9497246,19493351
9497246,19536330
9497246,19543528
9497246,19567506
9497246,19584580
9497246,19596651
9497246,19619314
9497246,19695104
9497246,19767587
9497246,19804604
9497246,19805094
9497246,19833573
9497246,19843326
9497246,19876733
9497246,19890494
9497246,19920816
9497246,19949876
9497246,19958922
9497246,19996031
9497246,20014424
9497246,20028858
9497246,20101300
9497246,20111735
9497246,20135344
9497246,20146796
9497246,20167074
9497246,20177093
9497246,20223033
9497246,20233462
9497246,20233467
9497246,20233468
9497246,20233480
9497246,20233481
9497246,20234365
9497246,20368650
9497246,20397150
9497246,20456938
9497246,20510205
9497246,20530438
9497246,20542480
9497246,20554149
9497246,20567624
9497246,20631074
9497246,20637093
9497246,20639550
9497246,20647335
9497246,20676756
9497246,20687957
9497246,20810374
9497246,20824037
9497246,20921543
9497246,20930542
9497246,20932271
9497246,20961453
9497246,20980697
9497246,21037853
9497246,21102443
9497246,21169536
9497246,21218378
9497246,21232165
9497246,21246292
9497246,21276604
9497246,21365267
9497246,21365268
9497246,21369831
9497246,21404118
9497246,21424757
9497246,21427728
9497246,21444874
9497246,21487411
9497246,21552502
9497246,21571596
9497246,21603083
9497246,21603858
9497246,21637503
9497246,21637504
9497246,21668996
9497246,21681822
9497246,21708937
9497246,21778580
9497246,21811309
9497246,21816897
9497246,21834074
9497246,21835029
9497246,21855118
9497246,21892298
9497246,21933006
9497246,22009639
9497246,22045356
9497246,22053997
9497246,22112691
9497246,22139894
9497246,22160602
9497246,22218884
9497246,22231042
9497246,22235027
9497246,22253144
9497246,22262859
9497246,22274690
9497246,22275959
9497246,22357897
9497246,22425664
9497246,22429896
9497246,22430266
9497246,22544547
9497246,22632462
9497246,22662244
9497246,22670098
9497246,22678057
9497246,22703186
9497246,22729394
9497246,22734169
9497246,22736444
9497246,22753008
9497246,22790858
9497246,22792303
9497246,22848222
9497246,22853843
9497246,22869870
9497246,22977115
9497246,22977638
9497246,23028338
9497246,23054337
9497246,23056176
9497246,23093334
9497246,23099436
9497246,23133607
9497246,23179792
