"Source","Target"
7539032,8145033
7629494,8145033
7629497,8145033
7629500,8145033
7629501,8145033
7769720,8145033
7790816,8145033
7836910,8145033
7878760,8145033
7890296,8145033
7890303,8145033
8545887,8145033
8545889,8145033
8550069,8145033
8551233,8145033
8551239,8145033
8551246,8145033
8590864,8145033
8618830,8145033
8637918,8145033
8642279,8145033
8642330,8145033
8666885,8145033
8666894,8145033
8675205,8145033
8693443,8145033
8698396,8145033
8707078,8145033
8707349,8145033
8760823,8145033
8760829,8145033
8893447,8145033
8909537,8145033
8911145,8145033
8920849,8145033
8920865,8145033
8920882,8145033
8976174,8145033
8976177,8145033
8976196,8145033
9016880,8145033
9016882,8145033
9038724,8145033
9050884,8145033
9091583,8145033
9105759,8145033
9120385,8145033
9151699,8145033
9151895,8145033
9151897,8145033
9166413,8145033
9166420,8145033
9184229,8145033
9185525,8145033
9203977,8145033
9220317,8145033
9227332,8145033
9234802,8145033
9242331,8145033
9242332,8145033
9269778,8145033
9271581,8145033
9271583,8145033
9294136,8145033
9294138,8145033
9294144,8145033
9329969,8145033
9348319,8145033
9370934,8145033
9378506,8145033
9382880,8145033
9389740,8145033
9448286,8145033
9463401,8145033
9474803,8145033
9497492,8145033
9500798,8145033
9520456,8145033
9529318,8145033
9584139,8145033
9618515,8145033
9658114,8145033
9670049,8145033
9707598,8145033
9707601,8145033
9763615,8145033
9767468,8145033
9802884,8145033
9822287,8145033
9824488,8145033
9841916,8145033
9843988,8145033
9847337,8145033
9874573,8145033
9892619,8145033
9989975,8145033
9990058,8145033
10049946,8145033
10051630,8145033
10074201,8145033
10079255,8145033
10193437,8145033
10196298,8145033
10225829,8145033
10233718,8145033
10233743,8145033
10233744,8145033
10233916,8145033
10233973,8145033
10359577,8145033
10377192,8145033
10408703,8145033
10429676,8145033
10444249,8145033
10447749,8145033
10457215,8145033
10457216,8145033
10468608,8145033
10469240,8145033
10482591,8145033
10540214,8145033
10540215,8145033
10559341,8145033
10562317,8145033
10583605,8145033
10594678,8145033
10594686,8145033
10611336,8145033
10618425,8145033
10642596,8145033
10681453,8145033
10684866,8145033
10698700,8145033
10722577,8145033
10727461,8145033
10753121,8145033
10756021,8145033
10758164,8145033
10790432,8145033
10809956,8145033
10811859,8145033
10811863,8145033
10811870,8145033
10839813,8145033
10844521,8145033
10874214,8145033
10899908,8145033
10929059,8145033
10933709,8145033
10954529,8145033
10962033,10837071
10973484,8145033
10974036,8145033
10984510,8145033
11027342,8145033
11032865,10837071
11035740,8145033
11062267,8145033
11083809,8145033
11090068,8145033
11090154,10837071
11090185,8145033
11120775,8145033
11120782,8145033
11122251,8145033
11122453,8145033
11123429,8145033
11134170,10837071
11134172,10837071
11136822,8145033
11158290,10837071
11159971,8145033
11160013,8145033
11207659,8145033
11257134,8145033
11259599,10837071
11264339,8145033
11274420,8145033
11274421,8145033
11283155,10837071
11298823,8145033
11307797,10837071
11349037,8145033
11356951,8145033
11390356,10837071
11390361,10837071
11390363,10837071
11390597,8145033
11410931,10837071
11412308,8145033
11413190,10837071
11422197,8145033
11438035,10837071
11438690,10837071
11447141,8145033
11447260,10837071
11462034,8145033
11472406,8145033
11472420,8145033
11485895,10837071
11486024,10837071
11489936,10837071
11504561,8145033
11514596,8145033
11514628,8145033
11529939,8145033
11531957,8145033
11533251,10837071
11560993,8145033
11576213,8145033
11585904,10837071
11598066,8145033
11598191,8145033
11602640,8145033
11602640,10837071
11602750,10837071
11672507,8145033
11689622,10837071
11696595,10837071
11696600,8145033
11696601,8145033
11714393,10837071
11716760,10837071
11726516,10837071
11733562,10837071
11737061,8145033
11737070,8145033
11739689,8145033
11748270,8145033
11748278,8145033
11748286,10837071
11756537,10837071
11773391,10837071
11773428,10837071
11781370,8145033
11781371,8145033
11781374,8145033
11792859,8145033
11818338,10837071
11828008,8145033
11849317,8145033
11850407,10837071
11854360,8145033
11857027,8145033
11861860,8145033
11872098,8145033
11876745,10837071
11890645,8145033
11909942,10837071
11918685,10837071
11927549,8145033
11927631,8145033
11953382,8145033
11953882,8145033
11967310,10837071
11982599,8145033
11994412,8145033
12000870,8145033
12010565,10837071
12010897,10837071
12021323,8145033
12024015,10837071
12045271,10837071
12047752,8145033
12050393,10837071
12052857,10837071
12065467,10837071
12065516,8145033
12070292,10837071
12080146,8145033
12085199,8145033
12089335,10837071
12097249,10837071
12097593,8145033
12100719,8145033
12100724,8145033
12107085,8145033
12110131,8145033
12110139,10837071
12110144,10837071
12117990,8145033
12138192,10837071
12145205,10837071
12145210,10837071
12153515,8145033
12154359,8145033
12163358,10837071
12167698,10837071
12177778,8145033
12183573,10837071
12186835,8145033
12186843,8145033
12192055,10837071
12208776,10837071
12208844,8145033
12208965,8145033
12221085,10837071
12228279,8145033
12235102,10837071
12235208,10837071
12235214,8145033
12239310,8145033
12296860,8145033
12356734,10837071
12368311,8145033
12368351,10837071
12374738,10837071
12379614,10837071
12379672,8145033
12388747,10837071
12390312,8145033
12391019,8145033
12398794,8145033
12414515,10837071
12414938,10837071
12417721,10837071
12426136,10837071
12427773,10837071
12437786,8145033
12438622,10837071
12446771,10837071
12446776,10837071
12466023,10837071
12482928,8145033
12482991,10837071
12486100,8145033
12502827,10837071
12502869,8145033
12505990,10837071
12515809,8145033
12519301,8145033
12524517,10837071
12529173,10837071
12529384,10837071
12552083,10837071
12562327,8145033
12589049,10837071
12595462,10837071
12603602,8145033
12605704,8145033
12628924,10837071
12653854,8145033
12654725,10837071
12659672,10837071
12663807,10837071
12667212,10837071
12668645,10837071
12671054,8145033
12734382,8145033
12743289,10837071
12757614,8145033
12773371,8145033
12773372,10837071
12808104,10837071
12810684,10837071
12819056,10837071
12819068,8145033
12819136,10837071
12829830,10837071
12832462,10837071
12839997,10837071
12857898,8145033
12874316,8145033
12886018,10837071
12897138,10837071
12902465,8145033
12915576,10837071
12915584,8145033
12917341,10837071
12925678,8145033
12939642,8145033
12941139,8145033
12970408,10837071
12973300,10837071
14507669,8145033
14512544,8145033
14517278,10837071
14519104,10837071
14523047,10837071
14525934,10837071
14561702,10837071
14561893,8145033
14568983,8145033
14585967,10837071
