"Source","Target"
7474079,8242752
7479001,8242752
7479751,8242752
7485160,8242752
7488858,8242752
7494290,8242752
7516474,8242752
7526341,8242752
7528329,8242752
7534253,8242752
7539102,8242752
7547247,8242752
7556087,8242752
7559780,8242752
7560079,8242752
7567980,8242752
7568153,8242752
7568162,8242752
7573363,8242752
7577470,8242752
7577473,8242752
7588628,8242752
7593612,8242752
7597081,8242752
7597093,8242752
7599041,8242752
7603986,8242752
7604871,8242752
7604888,8242752
7623819,8242752
7623839,8242752
7626805,8242752
7629502,8242752
7642695,8242752
7644500,8242752
7644510,8242752
7651386,8242752
7651437,8242752
7651818,8242752
7663341,8242752
7667293,8242752
7667317,8242752
7677168,8242752
7677190,8242752
7708014,8242752
7713039,8242752
7724543,8242752
7724545,8242752
7729416,8242752
7729417,8242752
7730147,8242752
7738192,8242752
7739542,8242752
7739547,8242752
7739548,8242752
7744015,8242752
7745116,8242752
7747811,8242752
7747814,8242752
7753810,8242752
7753819,8242752
7753836,8242752
7753855,8242752
7760842,8242752
7761402,8242752
7761466,8242752
7777529,8242752
7777546,8242752
7777576,8242752
7779721,8242752
7791758,8242752
7791789,8242752
7791795,8242752
7791798,8242752
7799938,8242752
7809128,8242752
7812045,8242752
7813434,8242752
7813439,8242752
7823921,8242752
7828811,8242752
7831315,8242752
7841034,8242752
7853526,8242752
7859739,8242752
7859740,8242752
7859744,8242752
7862138,8242752
7862624,8242752
7883998,8242752
7885831,8242752
7887414,8242752
7896881,8242752
7915843,8242752
7929589,8242752
7935394,8242752
7937841,8242752
7938006,8242752
7957050,8242752
7957051,8242752
7957105,8242752
7969121,8242752
7969181,8242752
7971268,8242752
7972006,8242752
7972105,8242752
8013454,8242752
8014102,8242752
8035799,8242752
8054278,8242752
8057432,8242752
8057451,8242752
8062826,8242752
8065358,8242752
8070405,8242752
8090749,8242752
8090755,8242752
8134335,8242752
8134338,8242752
8134379,8242752
8139570,8242752
8164683,8242752
8183882,8242752
8183918,8242752
8196612,8242752
8202483,8242752
8202487,8242752
8202516,8242752
8207801,8242752
8521819,8242752
8521821,8242752
8524220,8242752
8524244,8242752
8524262,8242752
8524283,8242752
8529093,8242752
8529117,8242752
8534916,8242752
8551610,8242752
8551641,8242752
8552075,8242752
8552618,8242752
8554507,8242752
8557038,8242752
8570655,8242752
8573795,8242752
8579104,8242752
8601638,8242752
8604347,8242752
8605090,8242752
8609048,8242752
8609050,8242752
8609171,8242752
8610162,8242752
8612583,8242752
8612585,8242752
8612598,8242752
8613430,8242752
8618920,8242752
8621784,8242752
8622657,8242752
8622674,8242752
8622677,8242752
8622687,8242752
8628276,8242752
8628312,8242752
8631304,8242752
8632996,8242752
8641969,8242752
8643488,8242752
8644854,8242752
8645583,8242752
8648716,8242752
8649364,8242752
8649388,8242752
8649410,8242752
8649766,8242752
8649992,8242752
8650198,8242752
8654372,8242752
8657106,8242752
8657154,8242752
8668152,8242752
8668205,8242752
8668206,8242752
8670896,8242752
8676476,8242752
8676521,8242752
8686737,8242752
8688317,8242752
8688323,8242752
8698624,8242752
8698814,8242752
8701978,8242752
8701992,8242752
8710868,8242752
8710881,8242752
8730105,8242752
8754833,8242752
8754845,8242752
8755575,8242752
8755653,8242752
8756619,8242752
8756624,8242752
8756654,8242752
8756655,8242752
8756670,8242752
8758936,8242752
8760353,8242752
8761369,8242752
8763853,8242752
8764097,8242752
8774137,8242752
8774162,8242752
8780393,8242752
8787680,8242752
8790367,8242752
8795570,8242752
8797886,8242752
8797888,8242752
8799150,8242752
8799171,8242752
8816502,8242752
8816507,8242752
8826861,8242752
8836183,8242752
8855263,8242752
8855976,8242752
8861947,8242752
8863663,8242752
8868473,8242752
8870682,8242752
8876165,8242752
8876226,8242752
8878451,8242752
8880918,8242752
8883398,8242752
8883416,8242752
8887630,8242752
8887688,8242752
8890174,8242752
8892872,8242752
8898364,8242752
8912526,8242752
8922388,8242752
8932384,8242752
8943005,8242752
8943066,8242752
8943319,8242752
8943359,8242752
8943369,8242752
8947040,8242752
8948422,8242752
8948636,8242752
8952518,8242752
8956791,8242752
8970991,8242752
8970996,8242752
8972216,8242752
8972219,8242752
8972873,8242752
8985343,8242752
8985358,8242752
8986812,8242752
8990177,8242752
9001225,8242752
9001254,8242752
9006333,8242752
9022073,8242752
9032249,8242752
9033255,8242752
9050839,8242752
9050866,8242752
9052405,8242752
9060424,8242752
9060648,8242752
9060832,8242752
9092641,8242752
9094623,8242752
9094635,8242752
9094645,8242752
9095000,8242752
9099959,8242752
9099968,8242752
9111314,8242752
9111343,8242752
9111352,8242752
9111365,8242752
9114050,8242752
9114284,8242752
9121449,8242752
9121451,8242752
9121469,8242752
9135154,8242752
9154806,8242752
9166931,8242752
9169493,8242752
9177166,8242752
9184169,8242752
9184177,8242752
9184226,8242752
9188631,8242752
9188637,8242752
9199319,8242752
9201721,8242752
9202067,8242752
9212741,8242752
9215124,8242752
9218731,8242752
9223279,8242752
9223475,8242752
9223493,8242752
9233820,8242752
9234744,8242752
9243501,8242752
9250158,8242752
9252195,8242752
9256421,8242752
9260156,8242752
9261385,8242752
9271120,8242752
9271434,8242752
9271435,8242752
9271439,8242752
9275025,8242752
9275177,8242752
9275183,8242752
9284048,8242752
9284049,8242752
9301547,8242752
9311842,9153395
9311842,9153396
9312058,8242752
9312059,8242752
9315628,8242752
9315646,8242752
9315650,8242752
9321401,9153395
9321401,9153396
9328147,8242752
9343165,8242752
9343394,8242752
9343416,8242752
9343434,9153395
9343434,9153396
9351830,9153395
9351830,9153396
9356500,8242752
9369933,8242752
9371561,8242752
9372952,8242752
9372954,8242752
9372962,8242752
9372966,8242752
9372967,8242752
9380510,8242752
9380755,8242752
9396712,9153395
9396712,9153396
9399916,8242752
9400941,8242752
9405613,9153395
9405657,8242752
9405685,8242752
9407031,8242752
9407038,8242752
9407038,9153395
9407038,9153396
9413940,8242752
9414655,8242752
9418885,8242752
9418893,8242752
9418900,8242752
9419352,8242752
9419352,9153395
9419352,9153396
9421473,8242752
9421473,9153395
9421473,9153396
9422711,8242752
9430646,9153395
9430646,9153396
9435252,8242752
9435313,8242752
9436988,8242752
9440118,8242752
9444990,8242752
9445009,8242752
9445009,9153395
9445009,9153396
9445014,8242752
9448003,8242752
9448297,8242752
9461508,8242752
9463382,8242752
9463383,8242752
9466585,8242752
9466972,8242752
9472015,8242752
9472631,8242752
9472642,9153395
9482877,9153395
9482877,9153396
9482878,9153395
9482878,9153396
9482880,8242752
9484805,8242752
9488444,9153395
9488444,9153396
9488455,8242752
9488463,8242752
9488468,9153395
9488468,9153396
9488478,8242752
9488478,9153395
9488478,9153396
9499057,8242752
9501176,8242752
9514058,8242752
9524109,8242752
9525601,8242752
9525640,8242752
9525648,8242752
9528803,8242752
9539784,8242752
9548451,8242752
9548727,8242752
9553040,8242752
9566867,8242752
9582267,8242752
9584145,8242752
9584157,8242752
9585502,9153395
9585502,9153396
9600126,8242752
9600920,8242752
