Id,Authority,Hub,pageranks
29383007,0,0.000068,0.000007
1598904,0.002071,0,0.000588
28035989,0,0.000039,0.000007
27659521,0.000353,0.018183,0.00001
26987529,0.000007,0.020947,0.000017
26970122,0,0.000235,0.000007
21532565,0,0.033214,0.000007
19675719,0,0.00004,0.000007
19119412,0,0.000039,0.000007
18783406,0,0.000039,0.000007
17018815,0,0.010372,0.000007
16696013,0,0.000088,0.000007
16451559,0,0.000039,0.000007
14752704,0,0.000039,0.000007
10777714,0,0.000039,0.000007
10644313,0,0.000039,0.000007
10621839,0,0.000039,0.000007
10621838,0,0.000039,0.000007
9818024,0,0.000039,0.000007
9497246,0.052349,0.006757,0.001096
9391879,0.00046,0.005865,0.000009
9150150,0.002828,0.005711,0.00008
8932340,0.00035,0.000412,0.000014
8630282,0.003252,0.00129,0.00007
8605099,0.000065,0.000268,0.00002
8506271,0,0.000039,0.000007
8460646,0.000111,0.000049,0.000177
8460645,0,0.000039,0.000007
8460644,0,0.000039,0.000007
8460642,0,0.000039,0.000007
8460640,0.000677,0.000039,0.00004
8460637,0.000477,0.000047,0.000294
8460636,0,0.000039,0.000007
8460635,0.00009,0.000049,0.000094
8460634,0,0.000066,0.000007
8447325,0,0.000039,0.000007
8213839,0,0.00005,0.000007
8170984,0,0.000039,0.000007
8116622,0.00032,0.000086,0.000012
8096359,0,0.000039,0.000007
8096358,0.000192,0.000039,0.00008
8018518,0,0.000039,0.000007
7947085,0,0.000039,0.000007
7942844,0.000604,0.000121,0.000031
7852187,0.000129,0.000052,0.000009
7825587,0.027033,0.003412,0.00072
7825586,0.005163,0.000289,0.000295
7669582,0,0.000039,0.000007
1598903,0,0.000039,0.000007
28521483,0,0.000001,0.000007
7473818,0.000053,0,0.000108
22125594,0,0.000001,0.000007
20227509,0,0.000008,0.000007
19261255,0.000966,0.000003,0.000115
17596546,0,0.000001,0.000007
15548805,0,0.000001,0.000007
14580249,0,0.000029,0.000007
10604741,0,0.002651,0.000007
10574256,0,0.000001,0.000007
9665480,0,0.000024,0.000007
9327736,0,0.000001,0.000007
9095001,0,0.000024,0.000007
9010038,0,0.000008,0.000007
8780379,0,0.000024,0.000007
7478429,0.000115,0,0.000068
11747329,0,0.000017,0.000007
11272899,0,0.000005,0.000007
10360664,0.000038,0.005881,0.000012
10070859,0,0.000101,0.000007
9514060,0,0.000002,0.000007
29985912,0,0.000004,0.000007
7478543,0.000212,0,0.000042
25762626,0,0.000004,0.000007
17190795,0,0.000009,0.000007
14633957,0,0.003722,0.000021
11159178,0,0.000004,0.000007
