from,to
30211169,8091231
30145940,8091231
29938003,8091231
29755873,8091231
29755871,8091231
29671401,8091231
29650789,8091231
29541174,8091231
29459887,8091231
29435039,8091231
29389935,8091231
29383094,8091231
29299148,8091231
29262523,8091231
29238749,8091231
29194591,8091231
29162161,8091231
29152499,8091231
29146938,8091231
28936272,8091231
28928839,8091231
28918466,8091231
28858227,8091231
28830573,8091231
28794804,8091231
28738860,8091231
28714471,8091231
28706734,8091231
28435519,8091231
28415857,8091231
28357044,8091231
28251929,8091231
28161399,8091231
28096247,8091231
28086974,8091231
28078281,8091231
27977206,8091231
27923995,8091231
27895806,8091231
27881737,8091231
27836010,8091231
27749552,8091231
27729585,8091231
27716388,8091231
27659521,8091231
27648713,8091231
27642590,8091231
27555886,8091231
27514841,8091231
27471560,8091231
27441238,8091231
27382453,8091231
27223485,8091231
27194814,8091231
27129401,8091231
26987529,8091231
26969729,8091231
26920070,8091231
26858951,8091231
26843898,8091231
26840090,8091231
26770289,8091231
26670335,8091231
26669862,8091231
26669452,8091231
26637267,8091231
26609213,8091231
26586665,8091231
26557407,8091231
26426992,8091231
26380221,8091231
26236408,8091231
26082817,8091231
25869442,8091231
25852742,8091231
25849179,8091231
25802882,8091231
25624909,8091231
25605744,8091231
25568166,8091231
25206309,8091231
25196046,8091231
25084155,8091231
25043256,8091231
24706727,8091231
24598993,8091231
24591564,8091231
24489863,8091231
24389207,8091231
24387338,8091231
24348212,8091231
24268522,8091231
24177593,8091231
24116205,8091231
24098868,8091231
23998004,8091231
23970893,8091231
23926460,8091231
23841703,8091231
23776363,8091231
23776357,8091231
23717390,8091231
23383274,8091231
23369278,8091231
23339072,8091231
23289006,8091231
23272245,8091231
23107584,8091231
22977638,8091231
22737296,8091231
22693372,8091231
22522501,8091231
22312502,8091231
22295226,8091231
22258532,8091231
22218884,8091231
21926112,8091231
21913181,8091231
21810988,8091231
21789034,8091231
21637504,8091231
21532565,8091231
21336636,8091231
21300207,8091231
21278452,8091231
21218378,8091231
20974951,8091231
20959029,8091231
20579331,8091231
20574808,8091231
20561909,8091231
20542480,8091231
20512659,8091231
20393310,8091231
20233468,8091231
20223016,8091231
20159340,8091231
19995430,8091231
19727433,8091231
19584580,8091231
19584259,8091231
19536108,8091231
19519208,8091231
19383374,8091231
19329713,8091231
19309274,8091231
19280625,8091231
19219042,8091231
19128425,8091231
19115029,8091231
19102775,8091231
18597679,8091231
18587272,8091231
18431501,8091231
18369654,8091231
18208621,8091231
17245114,8091231
17079251,8091231
17018160,8091231
16695985,8091231
16361123,8091231
16168118,8091231
15930293,8091231
15810068,8091231
15684076,8091231
14597750,8091231
12843322,8091231
12835295,8091231
12835293,8091231
12672886,8091231
12100744,8091231
11950848,8091231
11756561,8091231
11710835,8091231
11531255,8091231
11438460,8091231
11250724,8091231
11250683,8091231
11250676,8091231
11170890,8091231
11161412,8091231
11067781,8091231
10924405,8091231
10889864,8091231
10807692,8091231
10799446,8091231
10788334,8091231
10759551,8091231
10724455,8091231
10699056,8091231
10699055,8091231
10655892,8091231
10577927,8091231
10353781,8091231
10193517,8091231
10188893,8091231
10053012,8091231
9832031,8091231
9811893,8091231
9743298,8091231
9742920,8091231
9733033,8091231
9733031,8091231
9729531,8091231
9689095,8091231
9652773,8091231
9643283,8091231
9634504,8091231
9579822,8091231
9560268,8091231
9497246,8091231
9475087,8091231
9429140,8091231
9400938,8091231
9357627,8091231
9326334,8091231
9245992,8091231
9207100,8091231
9152835,8091231
9150174,8091231
9150172,8091231
9150170,8091231
9150156,8091231
9150155,8091231
9150154,8091231
9150153,8091231
9150152,8091231
9150150,8091231
9150149,8091231
9150148,8091231
9122171,8091231
9042907,8091231
9012404,8091231
9006316,8091231
9004126,8091231
8933332,8091231
8917547,8091231
8899366,8091231
8863152,8091231
8825930,8091231
8819440,8091231
8808615,8091231
8755940,8091231
8751855,8091231
8728689,8091231
8644738,8091231
8644702,8091231
8630835,8091231
8592328,8091231
8570617,8091231
8548703,8091231
8533776,8091231
8533757,8091231
7977337,8091231
7783161,8091231
7611277,8091231
7597059,8091231
7573057,8091231
7568034,8091231
7490308,8091231
30219179,8524414
30210910,8524414
30166705,8524414
30149579,8524414
30116257,8524414
30108055,8524414
30089796,8524414
30048498,8524414
30042185,8524414
30023007,8524414
29872710,8524414
29770616,8524414
29755871,8524414
29707112,8524414
29703267,8524414
29681614,8524414
29660759,8524414
29623263,8524414
29622581,8524414
29570666,8524414
29565421,8524414
29427345,8524414
29416040,8524414
29382703,8524414
29290694,8524414
29286222,8524414
29228641,8524414
